day,Aleppo,Damascus,Damascus Suburbs,Daraa,Deir Ezzor,Hama,Hasakeh,Homs,Idlib,Lattakia,Quneitra,Raqqa,Sweida,Tartous
2011-09-16,0.0,2.0,2.0,3.0,2.0,5.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
2011-09-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0
2011-09-18,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-09-19,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
2011-09-20,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-21,0.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
2011-09-22,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0
2011-09-23,1.0,0.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-09-24,4.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-09-25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
2011-09-26,1.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-09-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0
2011-09-28,2.0,0.0,1.0,1.0,3.0,3.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0
2011-09-29,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
2011-09-30,0.0,0.0,1.0,0.0,0.0,6.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0
2011-10-01,4.0,3.0,3.0,0.0,0.0,1.0,2.0,13.0,3.0,2.0,0.0,0.0,0.0,2.0
2011-10-02,1.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,0.0,0.0,1.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,4.0
2011-10-05,0.0,0.0,1.0,1.0,0.0,3.0,2.0,11.0,5.0,2.0,0.0,0.0,1.0,0.0
2011-10-06,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0
2011-10-07,0.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-08,0.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0
2011-10-09,0.0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
2011-10-10,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2011-10-11,2.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
2011-10-13,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0
2011-10-14,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-10-15,1.0,3.0,0.0,2.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
2011-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,0.0,0.0,2.0,0.0,0.0,4.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0
2011-10-18,0.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-10-19,0.0,0.0,3.0,0.0,0.0,2.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0
2011-10-20,1.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,0.0,0.0,2.0,0.0,0.0,3.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-10-22,0.0,0.0,0.0,4.0,1.0,3.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,0.0,2.0,0.0,4.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0
2011-10-24,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2011-10-26,0.0,2.0,2.0,0.0,1.0,6.0,0.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0
2011-10-27,1.0,0.0,1.0,1.0,0.0,5.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0
